Fecha,Descripcion,Categoria,Monto
2026-03-30,Bodega,Supermercados,192.51
2026-03-29,Cafetería,Restaurantes & Delivery,217.65
2026-03-29,Peaje,Transporte & Auto,119.76
2026-03-27,Peaje,Transporte & Auto,5.0
2026-03-24,Spa/Tratamiento,Salud & Bienestar,117.36
2026-03-22,Compras Granel,Supermercados,146.94
2026-03-22,Internet/TV,Hogar & Servicios,652.98
2026-03-22,Reembolso,Transferencias & Otros,70.02
2026-03-21,Gimnasio,Salud & Bienestar,517.4
2026-03-21,Internet/TV,Hogar & Servicios,542.1
2026-03-21,Artículos Limpieza,Hogar & Servicios,5.0
2026-03-19,Mantenimiento Hogar,Hogar & Servicios,212.11
2026-03-19,Estación de Servicio,Transporte & Auto,5.0
2026-03-19,Alquiler/Cuota,Hogar & Servicios,317.0
2026-03-19,Transferencia Familiar,Transferencias & Otros,128.55
2026-03-19,Pasaje Aéreo,Viajes & Ocio,5.0
2026-03-17,Restaurante Local,Restaurantes & Delivery,458.85
2026-03-17,Comida Rápida,Restaurantes & Delivery,5.0
2026-03-16,Consulta Médica,Salud & Bienestar,474.3
2026-03-16,Comida Rápida,Restaurantes & Delivery,5.0
2026-03-15,Cena Fuera,Restaurantes & Delivery,755.78
2026-03-14,Hotel,Viajes & Ocio,374.39
2026-03-14,Servicios Básicos,Hogar & Servicios,5.0
2026-03-14,Pago Amigo,Transferencias & Otros,83.35
2026-03-14,Mantenimiento,Transporte & Auto,20.31
2026-03-13,Artículos Limpieza,Hogar & Servicios,5.0
2026-03-12,Bodega,Supermercados,548.47
2026-03-12,Regalo,Transferencias & Otros,204.41
2026-03-11,Pago Amigo,Transferencias & Otros,118.23
2026-03-10,Excursión,Viajes & Ocio,5.0
2026-03-09,Excursión,Viajes & Ocio,2747.19
2026-03-09,Consulta Médica,Salud & Bienestar,555.02
2026-03-07,Tienda de Conveniencia,Supermercados,162.0
2026-03-07,Otros,Transferencias & Otros,65.67
